year_str,2008,,,,,,,,,,,,
,,,,,,,,,,,,,
Sum of value,Column Labels,,,,,,,,,,,,
Row Labels,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,total
Profiles: Organizations, 237 , 708 , 829 , 799 , 979 ," 1,195 "," 1,148 "," 1,010 ", 994 ," 1,072 "," 1,124 "," 1,439 "," 11,534 "
Profiles: People, 461 ," 1,823 "," 1,523 "," 1,189 "," 1,726 "," 1,801 "," 1,516 "," 1,347 "," 1,230 "," 1,270 "," 2,682 "," 2,171 "," 18,739 "
Profiles: Products, 112 , 454 , 296 , 195 , 407 , 296 , 352 , 194 , 139 , 713 , 651 , 893 ," 4,702 "
Profiles, 810 ," 2,985 "," 2,648 "," 2,183 "," 3,112 "," 3,292 "," 3,016 "," 2,551 "," 2,363 "," 3,055 "," 4,457 "," 4,503 "," 34,975 "
Rounds: angel, 13 , 77 , 34 , 31 , 33 , 46 , 27 , 25 , 27 , 26 , 28 , 34 , 401 
Rounds: seed, 13 , 64 , 57 , 35 , 36 , 64 , 55 , 59 , 45 , 41 , 49 , 45 , 563 
Rounds: venture, 131 , 137 , 135 , 120 , 184 , 195 , 131 , 129 , 100 , 116 , 107 , 219 ," 1,704 "
Rounds: convertible_note,,,,, 1 ,,,,,,,, 1 
Rounds: debt_financing, 3 , 3 ,, 1 , 8 , 3 , 7 , 7 , 1 , 2 , 6 , 5 , 46 
Rounds: grant, 1 ,,,,, 1 , 1 ,,, 1 , 1 ,, 5 
Rounds: post_ipo_equity,,,,,,,, 3 , 1 ,,,, 4 
Rounds: private_equity, 1 ,,,, 2 , 1 , 3 , 1 , 4 ,,, 5 , 17 
Rounds: undisclosed,,, 1 , 2 , 4 , 10 , 5 , 10 , 6 , 3 , 4 , 7 , 52 
Rounds, 162 , 281 , 227 , 189 , 268 , 320 , 229 , 234 , 184 , 189 , 195 , 315 ," 2,793 "
Acquisitions, 88 , 48 , 54 , 92 , 143 , 75 , 147 , 92 , 120 , 96 , 69 , 78 ," 1,102 "
IPOs, 17 , 13 , 7 , 3 , 17 , 7 , 8 , 13 , 7 , 6 , 6 , 6 , 110 
